nut_stroke_mm,jaw_closing_angle_deg,dphi_ds_rad_per_mm,dphi_ds_deg_per_mm,d2phi_ds2_rad_per_mm2,d2phi_ds2_deg_per_mm2,jaw_omega_rad_per_s,jaw_omega_deg_per_s,jaw_alpha_rad_per_s2,jaw_alpha_deg_per_s2,joint3_x_mm,joint3_y_mm
4.496000,7.883131,0.033898475,1.942240,0.001819362,0.104242,0.033898475,1.942240,0.001819362,0.104242,-47.754794,28.139736
4.512000,7.914220,0.033927621,1.943909,0.001823852,0.104499,0.033927621,1.943909,0.001823852,0.104499,-47.752545,28.142593
4.528000,7.945336,0.033956838,1.945584,0.001828356,0.104757,0.033956838,1.945584,0.001828356,0.104757,-47.750283,28.145466
4.544000,7.976479,0.033986128,1.947262,0.001832876,0.105016,0.033986128,1.947262,0.001832876,0.105016,-47.748010,28.148354
4.560000,8.007648,0.034015490,1.948944,0.001837410,0.105276,0.034015490,1.948944,0.001837410,0.105276,-47.745724,28.151256
4.576000,8.038845,0.034044925,1.950631,0.001841958,0.105536,0.034044925,1.950631,0.001841958,0.105536,-47.743426,28.154174
4.592000,8.070068,0.034074433,1.952321,0.001846522,0.105798,0.034074433,1.952321,0.001846522,0.105798,-47.741115,28.157107
4.608000,8.101319,0.034104014,1.954016,0.001851100,0.106060,0.034104014,1.954016,0.001851100,0.106060,-47.738793,28.160055
4.624000,8.132597,0.034133668,1.955715,0.001855694,0.106323,0.034133668,1.955715,0.001855694,0.106323,-47.736457,28.163019
4.640000,8.163902,0.034163396,1.957418,0.001860302,0.106587,0.034163396,1.957418,0.001860302,0.106587,-47.734110,28.165997
4.656000,8.195234,0.034193198,1.959126,0.001864926,0.106852,0.034193198,1.959126,0.001864926,0.106852,-47.731750,28.168991
4.672000,8.226594,0.034223074,1.960838,0.001869565,0.107118,0.034223074,1.960838,0.001869565,0.107118,-47.729378,28.172000
4.688000,8.257981,0.034253024,1.962554,0.001874219,0.107385,0.034253024,1.962554,0.001874219,0.107385,-47.726993,28.175024
4.704000,8.289396,0.034283049,1.964274,0.001878888,0.107652,0.034283049,1.964274,0.001878888,0.107652,-47.724595,28.178064
4.720000,8.320838,0.034313148,1.965999,0.001883573,0.107921,0.034313148,1.965999,0.001883573,0.107921,-47.722185,28.181119
4.736000,8.352308,0.034343323,1.967727,0.001888273,0.108190,0.034343323,1.967727,0.001888273,0.108190,-47.719763,28.184190
4.752000,8.383805,0.034373573,1.969461,0.001892989,0.108460,0.034373573,1.969461,0.001892989,0.108460,-47.717328,28.187276
4.768000,8.415330,0.034403899,1.971198,0.001897720,0.108731,0.034403899,1.971198,0.001897720,0.108731,-47.714880,28.190377
4.784000,8.446884,0.034434300,1.972940,0.001902467,0.109003,0.034434300,1.972940,0.001902467,0.109003,-47.712419,28.193494
4.800000,8.478465,0.034464778,1.974686,0.001907229,0.109276,0.034464778,1.974686,0.001907229,0.109276,-47.709946,28.196627
4.816000,8.510073,0.034495331,1.976437,0.001912008,0.109550,0.034495331,1.976437,0.001912008,0.109550,-47.707460,28.199775
4.832000,8.541710,0.034525962,1.978192,0.001916802,0.109825,0.034525962,1.978192,0.001916802,0.109825,-47.704961,28.202939
4.848000,8.573376,0.034556669,1.979951,0.001921612,0.110100,0.034556669,1.979951,0.001921612,0.110100,-47.702450,28.206118
4.864000,8.605069,0.034587453,1.981715,0.001926438,0.110377,0.034587453,1.981715,0.001926438,0.110377,-47.699925,28.209313
4.880000,8.636790,0.034618315,1.983483,0.001931280,0.110654,0.034618315,1.983483,0.001931280,0.110654,-47.697388,28.212524
4.896000,8.668540,0.034649254,1.985256,0.001936139,0.110933,0.034649254,1.985256,0.001936139,0.110933,-47.694838,28.215750
4.912000,8.700319,0.034680271,1.987033,0.001941013,0.111212,0.034680271,1.987033,0.001941013,0.111212,-47.692274,28.218993
4.928000,8.732125,0.034711367,1.988815,0.001945904,0.111492,0.034711367,1.988815,0.001945904,0.111492,-47.689698,28.222251
4.944000,8.763961,0.034742540,1.990601,0.001950811,0.111773,0.034742540,1.990601,0.001950811,0.111773,-47.687109,28.225525
4.960000,8.795825,0.034773793,1.992392,0.001955735,0.112055,0.034773793,1.992392,0.001955735,0.112055,-47.684507,28.228814
4.976000,8.827717,0.034805124,1.994187,0.001960675,0.112338,0.034805124,1.994187,0.001960675,0.112338,-47.681892,28.232120
4.992000,8.859639,0.034836534,1.995986,0.001965631,0.112622,0.034836534,1.995986,0.001965631,0.112622,-47.679263,28.235442
5.008000,8.891589,0.034868024,1.997791,0.001970605,0.112907,0.034868024,1.997791,0.001970605,0.112907,-47.676622,28.238780
5.024000,8.923568,0.034899594,1.999599,0.001975595,0.113193,0.034899594,1.999599,0.001975595,0.113193,-47.673967,28.242133
5.040000,8.955576,0.034931243,2.001413,0.001980601,0.113480,0.034931243,2.001413,0.001980601,0.113480,-47.671299,28.245503
5.056000,8.987613,0.034962973,2.003231,0.001985625,0.113768,0.034962973,2.003231,0.001985625,0.113768,-47.668618,28.248889
5.072000,9.019679,0.034994783,2.005053,0.001990666,0.114057,0.034994783,2.005053,0.001990666,0.114057,-47.665923,28.252291
5.088000,9.051775,0.035026674,2.006881,0.001995723,0.114347,0.035026674,2.006881,0.001995723,0.114347,-47.663215,28.255709
5.104000,9.083900,0.035058646,2.008712,0.002000798,0.114637,0.035058646,2.008712,0.002000798,0.114637,-47.660494,28.259143
5.120000,9.116054,0.035090700,2.010549,0.002005890,0.114929,0.035090700,2.010549,0.002005890,0.114929,-47.657759,28.262594
5.136000,9.148237,0.035122835,2.012390,0.002010999,0.115222,0.035122835,2.012390,0.002010999,0.115222,-47.655011,28.266060
5.152000,9.180450,0.035155052,2.014236,0.002016125,0.115515,0.035155052,2.014236,0.002016125,0.115515,-47.652250,28.269544
5.168000,9.212693,0.035187351,2.016087,0.002021269,0.115810,0.035187351,2.016087,0.002021269,0.115810,-47.649475,28.273043
5.184000,9.244965,0.035219732,2.017942,0.002026430,0.116106,0.035219732,2.017942,0.002026430,0.116106,-47.646686,28.276559
5.200000,9.277267,0.035252197,2.019802,0.002031609,0.116403,0.035252197,2.019802,0.002031609,0.116403,-47.643884,28.280091
5.216000,9.309599,0.035284744,2.021667,0.002036805,0.116700,0.035284744,2.021667,0.002036805,0.116700,-47.641068,28.283639
5.232000,9.341960,0.035317374,2.023536,0.002042020,0.116999,0.035317374,2.023536,0.002042020,0.116999,-47.638239,28.287204
5.248000,9.374352,0.035350088,2.025411,0.002047252,0.117299,0.035350088,2.025411,0.002047252,0.117299,-47.635396,28.290786
